Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details
1120,2011,4,18,Sudan,Central Equatoria,Juba ,Juba,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,R,OC,4.824871,31.607858,A security guard for an INGO was murdered when someone entered the INGO compound and looted cash and valuables from the office.
1101,2011,4,19,Sudan,Unity ,,,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,K,Am,R,8.927721,29.788925,"Two national staff (drivers) of a UN agency went missing after their vehicle was comandeered by SPLA and were forced to drive, carrying SPLA soldiers, into an area of active conflict."
1097,2011,4,22,Sudan,Jonglei,Duk,Pajut,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,U,Am,R,7.4,32.4,A national staff of a UN agency was wounded when the convoy he was traveling with was ambushed by unknown armed elements wearing military uniforms.
1100,2011,4,23,Sudan,Jonglei,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,R,7.181962,32.356095,A national staff of a UN agency was killed during an attack by armed assailants while traveling on duty.
1252,2011,5,12,Sudan,Jonglei,Akobo,Walgak,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,IA,U,8.159333,32.241833,An INGO national staff member was shot and killed by the relative of another staff member of the organization in what appears to be a personal revenge killing.
1102,2011,5,13,Ethiopia,Ogaden,,Near Jijiga,4,0,0,0,0,0,1,1,2,4,0,0,0,0,1,1,2,4,1,0,3,K,Am,U,8.53056,44.795,"One UN driver was killed, another staff wounded, and two staff captured when their UN agency vehicle was attacked by gunmen, in an area where pro-government forces are engaged in counter-insurgency operations against the ONLF. Each side blamed the other for the attack. UPDATE: the 2 kidnapped individuals were released on 30 June."
1160,2011,5,25,Sudan,Northern Bahr al Ghazal,,Marial Bai,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,BA,D,R,9.1060108,26.8461846,One national INGO staff was badly beaten and treated for head injuries when four INGO staff were stopped by SPLA at a checkpoint. The staff members were brought to the military barracks and one was badly beaten.
1116,2011,6,2,Sudan,Unity ,,Awila,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,LM,Am,R,8.65,29.85,"A driver contracted by an INGO to transport supplies was killed when his vehicle was struck by a landmine. Several other people were also killed, but they were not working for the contractor or the INGO."
1127,2011,6,8,Sudan,South Kordofan,,Kaduqli,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,S,U,U,11.005922,29.718875,"A UN national staff member was shot and wounded by Sudanese Armed Forces (PDF), near PDF HQ."
1132,2011,6,19,Sudan,Central Equatoria,Juba ,Juba,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,Am,R,4.840895,31.603638,One UN-contracted truck driver was seriously beaten and injured on his left hand when unknown armed persons robbed the trucks at a checkpoint near Juba town. The perpetrators stole a number of items. The trucks were carrying non-food items.
1136,2011,6,23,Sudan,Central Equatoria,Juba ,Juba,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,R,H,4.843303,31.588554,A UN worker and his (pregnant) wife were beaten when three intruders broke into their residence in the middle of the night. They were hospitalized for their injuries. Nothing was stolen and the reason for the attack is unclear.
1281,2011,8,5,Ethiopia,Somali,Ethiopia,Kebridehar,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,AB,R,P,6.74,44.27806,A UN national staff member was injured in a grenade attack in a restaurant in Kebridehar.
1144,2011,8,14,Sudan,South Darfur,,Nyala,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,Am,R,12.05,24.883333,An Italian staff member of an INGO was kidnapped by four armed men while driving with two Sudanese colleagues.
1152,2011,9,7,Sudan,North Darfur,El Fasher,"El Fasher, El Nakhil area ",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,R,H,16,26,One national staff of an NGO was injured and subsequently died when he was shot by two armed men who entered his house and tried to steal a vehicle at gunpoint.
1153,2011,9,9,DR Congo,North Kivu,,"Kigoma, Mpofi, Walikale",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,K,U,U,-1.43049,28.07519,"The driver of an NGO vehicle was kidnapped by members of the Mayi-Mayi Cheka group near Kigoma, Mpofi, in the Walikale part of North Kivu, DRC. Following an engagment between MONUSCO forces and the Mayi Mayi Cheka, and subsequent negotiations, he was released on 18 September."
1154,2011,9,10,DR Congo,North Kivu,,"Kaseghe, near Lubero",0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,6,K,U,U,-0.16265,28.13031,"Six national staff of an INGO were kidnapped by members of the Conseil des R�volutionaires Congolais (CRC), a splinter group of Mayi-Mayi PARECO. They were released on 18 September following negotiations."
