"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"112009iati23316","112009iati23316_8260566","3","8260566","South Kivu","-3.22552","28.59604","ADM2","second-order administrative division","6295630|6255146|CD|12|8260566","Earth|Africa|DR Congo|South Kivu|South Kivu","1","1"
"1120098715094","1120098715094_219402","3","219402","Bas Uele","2.8","24.73333","ADM2","second-order administrative division","6295630|6255146|CD|09|219402","Earth|Africa|DR Congo|Eastern Province|Bas Uele","1","1"
"1120098715094","1120098715094_7670837","3","7670837","Haut Katanga","-10.46044","27.94322","ADM2","second-order administrative division","6295630|6255146|CD|05|7670837","Earth|Africa|DR Congo|Katanga Province|Haut Katanga","1","1"
"1120098715094","1120098715094_215523","3","215523","Kabinda","-6.13333","24.48333","ADM2","second-order administrative division","6295630|6255146|CD|04|215523","Earth|Africa|DR Congo|Province du Kasaï-Oriental|Kabinda","1","1"
"1120098715094","1120098715094_214140","3","214140","Kasai","-5.35","21.41667","ADM2","second-order administrative division","6295630|6255146|CD|03|214140","Earth|Africa|Congo|Province du Kasaï-Occidental|Kasai","1","1"
"1120098715094","1120098715094_210596","3","210596","Lulua District","-6.292","22.483","ADM2","second-order administrative division","6295630|6255146|CD|03|210596","Earth|Africa|Congo|Province du Kasaï-Occidental|Lulua District","1","1"
"1120098715094","1120098715094_8260566","3","8260566","South Kivu","-3.22552","28.59604","ADM2","second-order administrative division","6295630|6255146|CD|12|8260566","Earth|Africa|DR Congo|South Kivu|South Kivu","1","1"
"1120098715094","1120098715094_205253","3","205253","Tanganika","-5.93333","29.2","ADM2","second-order administrative division","6295630|6255146|CD|05|205253","Earth|Africa|DR Congo|Katanga Province|Tanganika","1","1"
"1120098715094","1120098715094_8260565","3","8260565","Tshilenge District","-6.25431","23.4978","ADM2","second-order administrative division","6295630|6255146|CD|04|8260565","Earth|Africa|DR Congo|Province du Kasaï-Oriental|Tshilenge District","1","1"
"1120098715094","1120098715094_204704","3","204704","Tshopo","0.23333","25.56667","ADM2","second-order administrative division","6295630|6255146|CD|09|204704","Earth|Africa|Congo|Eastern Province|Tshopo","1","1"
