"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"Lxv7WsijzpthHgPzKYpFem","1120091055344","","2002","C","USD","1229.53663731"
"UNk5PQSwWxSBaqkwYPWo3A","1120091055344","","2003","C","USD","782738.143263"
"kchStQhRDokXcFaWzRQN5k","1120091055344","","2004","C","USD","2342470.47126"
"qqrskuexA7N5CyNaXnxTAG","1120091055344","","2005","C","USD","1661837.23089"
"Ky6kqtTkvedVzQzLrfUghA","1120091055344","","2006","C","USD","439241.313852"
"bkS99UeL3bHe9vSRmthSan","1120091055358","","2005","C","USD","11335861.0565"
"H3i7fZdr37GXyjLoWBpe3o","1120091055356","","2002","C","USD","4057470.90314"
"FgkWjXKLBtx7pobXpeeuwT","1120091055359","","2000","C","USD","121379.438218"
"nEtaJEbZWecgSmBxo2jEMA","1120091055372","","2001","C","USD","3722094.97047"
"FQseMDdTgNta4jNwUWnjZT","1120091055372","","2002","C","USD","2760309.75077"
"6oYLTPPR7U3AzhWHHb9AA8","1120091055372","","2003","C","USD","3204409.53727"
"EeFeuxxsJTseNGWbjotVeZ","1120091055372","","2004","C","USD","1873976.37701"
"gFttnr9cQP8ggAGVP4ovTB","1120091055372","","2005","C","USD","1764993.5665"
"N3ervLJmeR9vE6hYi3hHDV","1120091055399","","2001","C","USD","4023211.07919"
"NPkLd8pheudwojJSc8vfES","1120091055399","","2002","C","USD","3313601.23756"
"CZUdeUrQ6oqPapQjaLwnae","1120091055399","","2003","C","USD","4333960.88862"
"FxMxZcCoRNPUyVWjgeFMcd","1120091055400","","2001","C","USD","1874166.6518"
"7kzQquQ5cRFREBp9rA7oBD","1120091055404","","2001","C","USD","1300671.65635"
"vb9YydhDpEaGSb4y8MY8jL","1120091055404","","2002","C","USD","1279947.63944"
"BkMMr2SpxseKBMbKZx2MEh","1120091055404","","2003","C","USD","4447156.86626"
"TEYtwfEjfK3K8vsrvVSBBL","1120091055404","","2004","C","USD","4841886.46409"
"ZLSgUyJyuCnkRDryS6Ax4o","1120091055404","","2005","C","USD","3276063.84534"
"M3zzyuvSgXeVhHZND7s8uc","1120091055406","","2000","C","USD","12282321.4694"
"xvLeccvgbymwWkmGfMAymd","1120091055406","","2001","C","USD","7641602.1616"
