"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"8729938923","0","FINANZIERUNGSBEITRAG ZUGUNSTEN DER CENTENARY RURAL DEVELOPMENT BANK (CERUDEB)-GTZ","1997-03-12","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Implementation","1997","2001","1299866.53842","757669.245374"
"8729935617","0","HOIMA, KIBALE, KABAROLE DDSP.","1998-10-15","start-actual","","end-planned","International Fund for Agricultural Development|Ireland","IRL|DAC","Uganda","UGA","151","Government and civil society, general","Implementation","1998","2008","15803750.7711","8958027.37798"
"8729925961","0","POVERTY REDUCTION SUPPORT CREDIT II (POVERTY ERADICATION ACTION PLAN-PEAP)","2004-05-06","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2004","2004","5550877.89293","5224724.96088"
"8729932222","1","POVERTY REDUCTION SUPPORT CREDIT VI (KFW)","2007-03-03","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2007","2007","5081620.07102","5115438.21932"
"8729932221","1","POVERTY REDUCTION SUPPORT CREDIT V (KFW)","2006-03-21","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2006","2006","4757126.14181","5035887.67458"
"8729932220","1","POVERTY REDUCTION SUPPORT CREDIT IV (KFW)","2005-10-17","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2005","2005","5577299.41225","5456491.48253"
"8729922135","1","CO-FINANCING POVERTY REDUCTION SUPPORT CREDIT (PRSC) VII - IX","2008-11-24","start-actual","2011-12-30","end-planned","Germany","DEU","Uganda","UGA","151","Government and civil society, general","Implementation","2008","2011","18361559.3841","3965382.11053"
"8729922927","1","IMPROVEMENT OF THE PAYMENT TRANSACTION SYSTEM-KFW","2001-12-14","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2001","2007","3014454.52851","3187697.50551"
"8729922954","1","CO-FINANCING POVERTY REDUCTION CREDIT II","2003-08-19","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2003","2006","11791554.7419","11278035.174"
"8729925953","1","POVERTY REDUCTION SUPPORT CREDIT III (CO-FINANCING WITH IRBD)","2004-05-06","start-actual","","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Completion","2004","2004","5550877.89293","5856132.62576"
"8729922721","0","L.VICTORIA ENVIRONMENT MANAGEMENT PROGRAMME","1997-06-30","start-actual","2013-06-30","end-planned","Global Environment Facility","DAC","Uganda","UGA","140","Water supply and sanitation","Completion","1996","2013","25541718.6653","14729090.1369"
"8729922227","1","ENERGY FOR RURAL TRANSFORMATION-MEMD","2006-10-12","start-actual","2010-12-31","end-planned","International Bank for Reconstruction and Development","DAC","Uganda","UGA","230","Energy generation and supply","Completion","2006","2010","1647154.92695","1800554.42567"
"8729924830","0","NATIONAL MUSEUM COMMISSION","1997-09-11","start-actual","1998-12-31","end-planned","International Bank for Reconstruction and Development","DAC","Uganda","UGA","510","General budget support","Completion","1997","2001","251818.102901","245180.331587"
"87299462424","0","KARUMA INTERCONNECTION PROJECT","","start-actual","2015-12-31","end-planned","Norway","NOR","Uganda","UGA","230","Energy generation and supply","Completion","2008","2015","2825977.59379","2119875.542"
"8729932199","1","UGANDA MEAT EXPORTS DEVELOPMENT PROJECT","2009-07-03","start-actual","2013-06-30","end-planned","Norway","NOR","Uganda","UGA","311","Agriculture","Implementation","2009","2013","3440421.27722","1574275.10792"
"872992488","1","UETCL/STATNETT TWINNING - PHASE II","2009-04-29","start-actual","2011-04-01","end-planned","Norway","NOR","Uganda","UGA","230","Energy generation and supply","Completion","2009","2011","2391204.9225","1389802.36351"
"8729922381","1","CONSTRUCTION OF OIL REFINERY","2011-10-11","start-actual","2012-12-31","end-planned","Norway","NOR","Uganda","UGA","230","Energy generation and supply","Implementation","2011","2012","2523068.05","5182155.39758"
"87299311605","1","SAWLOG PRODUCTION GRANT SCHEME PROJECT","2009-10-13","start-actual","2016-09-07","end-planned","Norway|European Union","NOR|DAC","Uganda","UGA","140","Water supply and sanitation","Implementation","2009","2016","20236868.2091","9006475.41879"
"87299381427","1","HEALTH SECTOR WIDE APPROACH","2000-04-17","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Implementation","2000","2005","802279.583788","10523802.3361"
"8729935479","1","STRENGTHENING UPSTREAM PETROLEUM","","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Implementation","2005","2007","2527208.48561","2508862.44972"
"87299381142","1","NORWEGIAN GRANT TO MDF","1996-12-11","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","1996","1997","8436305.48247","8089687.62966"
"8729925405","0","BUDGET SUPPORT CBR DISABLED","2002-03-18","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2002","2007","554930.459129","1050312.10601"
"87299271110","1","SWAP DEVELOPMENT FUND","2004-10-19","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2004","2007","1778165.94986","1836775.05619"
"87299271129","1","PAF BUDGET SUPPORT UGA-2874 2002/04","2002-12-03","start-actual","2004-01-30","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2002","2010","27378539.4526","17548217.4628"
"87299241146","1","GENERAL BUDGET SUPPORT 2001","2001-01-02","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2000","2001","1870188.68435","3693955.7787"
"87299251152","0","ELECTIONS-REFERENDUM 2000","1999-01-02","start-actual","","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","1999","1999","437025.709262","413751.771794"
"87299241151","1","NORWAY JUSTICE REFORM 2001","2001-01-02","start-actual","2001-12-31","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2001","2001","701011.10916","685434.803914"
"8729925127","1","PRDP","2008-12-03","start-actual","2009-06-30","end-planned","Norway","NOR","Uganda","UGA","311|110","Agriculture|Education","Completion","2008","2010","4905686.05094","10607116.727"
"8729922203","1","BUDGET SUPPORT 2004/05-2008/09","2004-12-03","start-actual","2009-12-31","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2004","2010","70168599.8385","72011193.6083"
"8729922391","0","SUPPORT TO JLOS STRATEGIC INVESTMENT PLAN","2008-12-02","start-actual","2011-06-30","end-planned","Norway","NOR","Uganda","UGA","510","General budget support","Completion","2008","2011","7343841.39463","9098784.50658"
"87299221179","1","SWISS GRANT TO MULTI-DEBT FUND","1995-12-18","start-actual","1996-12-31","end-planned","Switzerland","CHE","Uganda","UGA","510","General budget support","Completion","1995","1996","11941895.9093","11941895.9093"
"87299221174","1","SECOND GRANT TO THE MULTI-DEBT FUND","1997-12-02","start-actual","1998-12-31","end-planned","Switzerland","CHE","Uganda","UGA","510","General budget support","Completion","1997","1998","9319703.71503","8996387.73283"
"8729931464","0","RURAL ELECTRIFICATION PROJECT II","2011-10-13","start-actual","","end-planned","Saudi Fund for Development","SAU","Uganda","UGA","230","Energy generation and supply","Implementation","2011","2011","11000000.0",""
"8729922209","0","PRIMARY EDUCATION REFORM RWENZORI","2002-01-02","start-actual","2006-12-31","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2002","2006","4869886.41245","7143614.51737"
"87299223279","0","NAMUWONGO UPGRADING & LOW COST HOUSING","1986-11-27","start-actual","","end-planned","United Nations Development Programme|Shelter Afrique","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","1986","1998","4461686.18659","4264690.46128"
"87299241027","0","PROGRAMME MODERNISATION OF AGRICULTURE","2001-01-02","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2001","2001","364005.203836","346998.670791"
"8729921989","0","NATIONAL AGRIC ADVISORY SERVICES","2002-01-02","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","311","Agriculture","Completion","2001","2005","2898163.10943","6242185.25947"
"8729924412","1","EDUCATION SECTOR SUPPORT ESSP PAF","2007-07-01","start-actual","2010-06-30","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2007","2011","34101450.4004","40440159.159"
"8729922970","0","PRIMARY EDUCATION REFORM","1996-12-16","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","1996","2002","5774630.42371","5785157.44419"
"8729935971","0","EDUCATION SECTOR INVESTMENT PLAN","2000-07-21","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2000","2002","5043727.55207","5703339.17147"
"8729921973","0","BUDGET SUPPORT TO EDUCATION SECTOR","2000-07-21","start-actual","","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2000","2003","9736897.26021","11527299.1381"
"87299241009","0","PAF CLASSROOM CONSTRUCTION 2001/02","2001-09-24","start-actual","2004-12-31","end-planned","Ireland","IRL","Uganda","UGA","510","General budget support","Completion","2001","2004","13329221.5629","11642179.1024"
